cgpa,package
7.89,3.67
7.09,3.64
8.31,3.51
5.38,2.09
6.1,2.2
5.1,2.3
5.64,2.1
8.63,4.09
7.13,2.93
6.93,2.46
5.95,2.54
8.28,3.67
6.86,3.09
7.95,4.14
6.61,3.24
5.9,2.43
7.91,3.15
6.42,2.72
6.07,2.26
7.11,2.66
7.28,3.65
5.84,2.74
6.22,2.14
6.35,2.73
7.39,2.65
9.31,4.37
7.28,3.48
8.11,4.06
6.19,2.48
5.83,2.42
7.87,3.58
5.58,2.17
8.44,4.03
6.94,2.37
6.29,3.23
7.77,4.06
7.91,3.89
6.66,2.82
9.16,4.25
8.31,3.42
5.42,2.25
7.9,4.0
9.06,3.82
7.6,3.81
6.98,3.09
6.13,2.19
5.84,2.48
7.56,2.99
8.87,4.62
7.3,3.33
5.79,2.35
6.6,1.94
8.35,4.21
7.88,3.14
5.09,1.86
6.89,2.7
6.19,2.72
5.42,2.16
6.85,2.93
8.71,4.08
6.92,3.09
6.73,2.6
6.94,2.98
8.21,4.08
7.62,3.74
5.94,2.24
8.62,4.36
6.85,3.44
6.14,2.3
7.42,3.67
6.75,2.56
5.66,2.21
8.13,3.6
7.21,3.24
8.93,3.91
7.94,3.99
4.26,1.53
6.05,2.58
6.94,3.57
6.89,3.26
7.36,3.26
7.19,2.4
7.15,3.49
9.04,3.33
6.22,2.33
4.79,1.48
7.2,2.83
6.1,2.6
6.5,3.02
5.98,2.84
7.57,3.4
8.15,3.63
6.96,3.08
6.97,3.28
5.88,2.08
7.47,3.34
7.78,3.62
7.3,2.94
6.51,2.89
9.38,4.02
